,value,percentage,datetime
0,1304599.661,1,2019-01-01T00:00:00.000+01:00
1,1139791.713,1,2019-02-01T00:00:00.000+01:00
2,1205850.157,1,2019-03-01T00:00:00.000+01:00
3,1138940.089,1,2019-04-01T00:00:00.000+02:00
4,1168948.401,1,2019-05-01T00:00:00.000+02:00
5,1142368.133,1,2019-06-01T00:00:00.000+02:00
6,1245721.68,1,2019-07-01T00:00:00.000+02:00
7,1164281.486,1,2019-08-01T00:00:00.000+02:00
8,1097241.152,1,2019-09-01T00:00:00.000+02:00
9,1160622.707,1,2019-10-01T00:00:00.000+02:00
10,1207924.771,1,2019-11-01T00:00:00.000+01:00
11,1205933.214,1,2019-12-01T00:00:00.000+01:00
