,value,percentage,datetime
0,17830.239,1,2019-01-01T00:00:00.000+01:00
1,16019.527,1,2019-02-01T00:00:00.000+01:00
2,16598.235,1,2019-03-01T00:00:00.000+01:00
3,15221.094,1,2019-04-01T00:00:00.000+02:00
4,16753.54,1,2019-05-01T00:00:00.000+02:00
5,16642.239,1,2019-06-01T00:00:00.000+02:00
6,18185.252,1,2019-07-01T00:00:00.000+02:00
7,18656.52,1,2019-08-01T00:00:00.000+02:00
8,17603.892,1,2019-09-01T00:00:00.000+02:00
9,17669.152,1,2019-10-01T00:00:00.000+02:00
10,17157.331,1,2019-11-01T00:00:00.000+01:00
11,17711.219,1,2019-12-01T00:00:00.000+01:00
